,id,state,gender,median_home_val,median_household_income,ic4,hvp1,ic5,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
292,78802,WI,J,667,293,422.0,0,17527,5,68,385.0,334,15.0,1002,1301,S2,15.0
293,186460,WI,F,303,175,253.0,0,7115,1,76,217.0,219,10.375,2,0,R3,20.0
294,114579,OK,M,633,399,517.0,0,17637,0,63,442.0,439,13.16666667,1,2112,C1,10.0
295,23184,SC,F,391,214,269.0,0,9853,0,77,243.0,242,14.0,0,0,C3,10.0
296,125289,TX,F,707,246,327.0,0,15322,13,63,283.0,291,5.25,0,1802,S2,7.0
297,10502,MI,M,1179,464,501.0,2,15910,2,82,496.0,462,13.46666667,0,0,T2,15.0
298,46844,AL,Male,453,219,299.0,0,9654,0,90,264.0,263,7.0,0,0,R3,10.0
299,162814,CA,M,3365,544,621.0,94,27608,8,59,525.0,655,6.2,1,3701,U1,10.0
300,89653,IL,M,1315,328,472.0,9,15767,5,64,384.0,398,4.818181818,0,1708,C2,3.0
301,170818,CA,F,668,187,240.0,0,6845,32,39,191.0,239,6.0,2,6209,S1,10.0
302,6147,SC,M,399,221,302.0,0,10150,0,88,266.0,259,13.90909091,1,2101,T2,24.0
303,14276,CA,F,3200,267,338.0,87,11115,36,43,292.0,325,13.2,0,2801,U2,15.0
304,120166,TX,F,289,171,283.0,0,9765,3,83,226.0,224,9.214285714,28,2608,R3,12.0
305,156817,CA,F,1796,266,337.0,33,10720,48,32,271.0,334,20.0,0,0,U2,20.0
306,35476,FL,M,625,259,309.0,0,11072,17,16,282.0,299,17.14285714,1,3609,C3,25.0
307,155382,CA,F,978,290,381.0,6,13490,9,50,324.0,349,15.85,0,3301,U2,30.0
308,104049,MO,M,367,159,222.0,0,8893,0,63,186.0,193,3.166666667,0,0,R3,3.0
309,112461,AR,M,376,178,256.0,3,8246,0,57,195.0,231,9.411764706,1,2401,R3,10.0
310,79580,WI,F,937,321,545.0,7,18567,13,52,441.0,433,15.0,2,201,U1,21.0
311,86528,ND,F,675,272,358.0,1,13135,1,81,310.0,301,3.083333333,2,0,T2,3.0
312,107658,NE,F,232,197,280.0,0,9480,1,81,259.0,229,6.928571429,28,0,R2,10.0
313,69537,MI,F,545,364,416.0,0,11401,2,89,382.0,400,8.6,0,2801,R2,15.0
314,81284,WI,F,458,228,318.0,0,10731,4,82,270.0,276,13.4,2,4308,C2,25.0
315,32475,FL,M,814,271,324.0,3,10488,2,52,268.0,312,16.4,1,0,T2,20.0
316,104505,KS,F,671,320,376.0,0,12950,0,57,340.0,349,10.0,2,3801,R2,25.0
317,13483,WI,F,452,293,371.0,0,10979,0,91,316.0,339,6.34,0,0,R3,17.0
318,1042,OR,M,826,314,426.0,7,14958,3,34,348.0,390,9.1875,1,810,T1,8.0
319,28337,GA,M,860,324,375.0,0,15491,15,35,351.0,346,11.33333333,1,2801,S2,20.0
320,67808,MI,F,185,277,286.0,0,10788,8,63,283.0,312,8.787878788,0,2207,U4,10.0
321,35017,FL,M,576,200,324.0,0,12518,8,12,280.0,244,12.90909091,2,2101,T2,10.0
322,10973,CA,M,2431,563,660.0,75,24290,8,59,579.0,655,10.89473684,1,2305,T1,12.0
323,67030,MI,M,388,364,433.0,0,12601,2,70,410.0,413,33.33333333,1,0,S3,50.0
324,122279,TX,F,1680,884,935.0,20,27875,7,36,878.0,943,5.076923077,2,4903,U4,5.0
325,18802,NC,M,1128,409,481.0,3,15936,2,67,467.0,442,14.5,1,5101,T2,20.0
326,90092,IL,F,916,434,457.0,0,12450,7,82,421.0,458,18.46153846,2,3905,S2,10.0
327,98821,IL,F,340,185,275.0,0,10719,3,78,228.0,235,9.0,0,2601,T2,10.0
328,116186,TX,M,711,322,378.0,1,12630,1,76,353.0,360,11.95454546,1,4212,R2,10.0
329,18359,NC,female,412,215,315.0,0,9706,0,94,259.0,271,6.444444444,28,0,R3,10.0
330,128970,TX,F,893,443,527.0,2,17519,6,57,463.0,508,9.25,28,0,S1,14.0
331,172635,CA,M,644,191,272.0,3,9569,8,57,222.0,243,11.44444444,0,0,T3,16.0
332,106508,KS,F,440,219,288.0,0,10985,9,41,261.0,260,12.0,2,1401,T1,20.0
333,81067,WI,F,363,76,158.0,0,9086,2,67,127.0,115,15.0,0,0,C3,15.0
334,169106,California,F,1745,397,521.0,20,18427,9,80,512.0,485,8.0,2,4501,T2,5.0
335,106898,NE,F,672,302,449.0,0,14981,2,58,416.0,348,6.631578947,0,3801,S2,5.0
336,24747,SC,F,1419,661,741.0,16,23212,4,26,697.0,700,9.0,0,4405,S1,15.0
337,144906,California,U,3781,494,606.0,95,22770,10,46,609.0,543,20.0,1,2501,U1,20.0
338,40516,FL,F,1938,483,807.0,48,47363,2,4,787.0,629,12.33333333,0,1509,C1,21.0
339,172530,California,F,1495,323,351.0,22,14923,4,57,334.0,348,5.714285714,0,3601,T1,7.0
340,72438,MI,M,561,351,373.0,0,13150,1,89,353.0,368,8.75,1,1701,T2,10.0
341,144076,California,M,5980,1500,1217.0,99,94863,27,41,1500.0,1124,38.75,1,1201,S1,50.0
342,130609,CO,M,1412,499,606.0,14,24758,3,46,601.0,538,12.0,1,1404,S1,16.0
343,43974,FL,M,1869,452,640.0,44,29990,6,9,542.0,553,3.818181818,2,4601,S2,5.0
344,32709,FL,F,556,229,280.0,0,12960,4,39,272.0,258,13.25,0,5601,C2,15.0
346,50905,TN,F,736,331,432.0,1,16926,1,61,390.0,379,8.666666667,28,2301,S2,16.0
347,55552,MS,M,363,156,244.0,0,7079,0,91,193.0,214,8.4,2,3203,R3,20.0
348,28550,GA,F,803,423,508.0,0,19029,9,51,512.0,467,11.66666667,28,5204,S2,15.0
349,158460,California,F,1818,258,350.0,28,10324,35,36,316.0,299,13.7,0,2910,U3,15.0
350,56449,KY,F,640,381,450.0,0,15499,0,82,414.0,403,6.928571429,0,0,R2,5.0
351,133315,WA,F,698,355,416.0,1,13184,1,34,377.0,393,8.5,0,3603,T2,10.0
352,164251,California,F,1449,378,470.0,4,16190,6,46,439.0,395,15.0,0,4001,S2,5.0
354,123805,TX,F,518,223,302.0,1,10041,4,70,256.0,273,4.583333333,2,2801,R2,7.0
355,156077,California,F,1180,232,307.0,9,7582,20,40,248.0,277,9.666666667,0,5601,T2,15.0
356,183858,WA,male,511,268,354.0,0,12388,2,56,309.0,317,16.0,1,4801,R2,25.0
357,164217,California,M,2869,630,745.0,74,24945,6,46,668.0,686,14.16666667,0,4011,T1,25.0
358,169973,California,F,1514,325,517.0,17,18572,3,53,451.0,439,11.4,2,4001,R1,15.0
359,15066,NC,female,444,260,341.0,0,11387,0,87,296.0,288,8.958333333,2,4601,R3,10.0
360,64467,IN,F,444,270,364.0,0,13896,1,39,318.0,310,12.69230769,0,4801,R2,12.0
361,133814,ID,M,654,250,366.0,3,13433,2,32,306.0,312,18.71428571,2,2412,T2,25.0
362,31852,FL,F,985,480,506.0,0,15195,3,25,495.0,487,15.2,0,4802,S1,26.0
363,82610,MN,J,280,249,304.0,0,10337,0,86,282.0,277,3.6,0,2308,S2,5.0
364,34319,FL,M,714,390,507.0,0,18391,5,30,465.0,437,50.0,0,3001,C1,25.0
365,152527,California,F,1854,289,402.0,37,11567,9,50,377.0,339,23.0,28,4501,C2,23.0
366,178290,WA,male,0,0,0.0,0,0,0,0,0.0,0,5.375,1,0,S1,6.0
367,153818,California,F,2780,574,677.0,86,29871,5,14,587.0,653,9.828571429,0,0,S1,10.0
368,152641,California,F,1538,319,351.0,1,11046,11,43,305.0,349,30.0,0,0,S3,50.0
369,161691,California,F,1528,327,391.0,8,13190,17,51,358.0,370,19.16666667,0,3401,C2,25.0
370,8404,TX,U,605,272,364.0,1,10897,5,73,313.0,335,37.2,0,1501,R2,10.0
371,88119,IL,F,1165,391,533.0,0,22667,3,82,518.0,454,7.0,28,3001,S1,10.0
372,122167,TX,F,439,255,294.0,0,9346,33,49,262.0,303,12.4,0,0,C2,10.0
373,106639,NE,F,681,387,477.0,0,13753,1,47,422.0,428,15.0,0,2001,S1,15.0
375,120107,TX,M,225,157,263.0,0,8947,1,81,204.0,217,18.08333333,1,1803,R3,26.0
376,72617,MI,M,258,216,274.0,0,8231,0,65,244.0,245,5.454545455,2,0,R3,9.0
377,155541,California,M,2236,546,620.0,59,19923,9,57,563.0,612,9.785714286,0,3410,T1,10.0
378,77107,WI,male,1438,619,801.0,19,30386,6,67,691.0,744,11.7,0,4306,S1,14.0
379,186016,TN,M,403,209,244.0,0,9078,0,79,223.0,213,8.619047619,1,0,R2,10.0
380,152053,California,F,3071,626,746.0,76,24844,3,51,694.0,704,12.53333333,2,5305,S1,25.0
381,12880,FL,M,1442,369,488.0,32,26462,7,4,394.0,445,7.846153846,1,1401,C1,10.0
382,16099,NC,female,660,282,335.0,1,10743,0,81,291.0,327,5.5,0,2701,R2,12.0
383,166337,California,M,5813,1221,1191.0,98,60492,8,52,1302.0,1077,15.0,1002,5401,S1,15.0
384,142495,California,F,2250,340,444.0,60,19170,35,28,375.0,379,11.4,28,0,U1,21.0
385,66891,MI,U,1115,512,619.0,4,20171,3,64,582.0,517,3.857142857,0,0,S1,5.0
386,118673,TX,F,761,321,354.0,2,12145,2,76,347.0,351,10.81818182,0,0,R2,10.0
387,168389,California,F,2930,372,491.0,91,24747,19,49,454.0,456,15.0,28,0,U1,20.0
388,14982,California,F,3370,342,401.0,94,15765,22,40,346.0,356,16.06666667,0,0,U1,15.0
389,185925,MN,M,966,418,569.0,3,22845,7,58,463.0,479,7.363636364,1,4701,C1,10.0
390,144393,California,F,2024,352,427.0,51,11885,24,43,400.0,392,8.631578947,0,1909,U2,15.0
391,4907,MT,female,553,238,323.0,0,12885,2,56,381.0,270,13.65909091,2,0,C2,22.0
392,99298,MO,M,703,314,376.0,0,12799,0,78,357.0,350,16.5,1,4001,S2,32.0
393,187532,FL,M,1286,500,551.0,9,19082,14,8,502.0,542,15.0,1,0,T1,15.0
394,119496,TX,F,758,390,461.0,4,14397,4,56,397.0,448,7.857142857,0,0,S1,5.0
395,169919,California,F,657,169,254.0,2,9583,3,59,216.0,220,8.666666667,0,4801,T2,20.0
396,106963,NE,M,581,315,411.0,0,16473,1,57,368.0,378,10.85714286,1,6102,S2,15.0
397,145838,California,U,2019,406,512.0,52,12623,29,39,423.0,478,20.0,0,0,S1,8.0
398,150624,California,M,1247,321,385.0,8,10994,22,48,358.0,357,7.376458333,1,0,S2,8.0
399,182144,FL,F,559,229,278.0,0,8359,1,44,277.0,244,7.136363636,0,5208,S2,7.0
400,135449,AZ,M,687,369,403.0,0,9781,6,37,375.0,390,7.181818182,1,4801,S2,10.0
401,49743,AL,Male,582,217,375.0,2,12588,1,59,363.0,275,16.0,1,1901,T2,22.0
402,65500,MI,M,690,419,490.0,0,15715,1,19,451.0,468,12.33333333,1,7001,S1,15.0
403,172420,California,F,988,169,344.0,9,9190,5,67,246.0,247,6.25,0,6601,C2,6.0
404,7494,California,F,1500,282,382.0,4,13859,10,42,353.0,332,5.24,0,2301,C2,6.0
405,149498,California,J,5742,1289,1119.0,99,64190,27,35,1369.0,1085,21.66666667,4002,3803,S1,20.0
407,70944,MI,F,357,205,303.0,0,9192,3,81,268.0,260,20.0,0,7501,T2,20.0
408,117230,TX,M,406,186,203.0,0,8797,8,67,226.0,183,5.7,1,801,C3,11.0
409,50427,TN,F,871,464,539.0,0,18279,3,47,501.0,503,9.1,28,5406,T2,15.0
410,43998,FL,M,768,256,385.0,4,13696,6,22,310.0,323,16.75,1,2108,C2,22.0
411,71255,MI,M,458,231,323.0,0,12539,4,86,241.0,308,12.16666667,2,1511,T1,13.0
412,63308,IN,M,485,344,422.0,0,17697,0,76,382.0,402,8.0,1,2301,C2,10.0
413,82196,MN,F,405,212,309.0,0,9715,1,81,267.0,261,5.923076923,0,2001,R2,5.0
414,114820,MO,F,459,240,299.0,1,9637,1,71,253.0,272,6.294117647,28,0,T2,10.0
415,176781,OR,M,811,324,463.0,4,16399,5,38,394.0,395,8.75,0,3101,C1,10.0
416,20438,NC,M,509,248,282.0,0,9114,4,38,254.0,288,7.142857143,1,2601,T2,10.0
417,91879,IL,F,1030,375,585.0,0,17204,5,65,553.0,473,12.0,0,0,S2,20.0
418,92443,IL,F,881,392,437.0,0,14377,3,90,393.0,414,6.153846154,2,0,S2,10.0
419,168189,California,M,2794,637,678.0,93,23035,11,54,630.0,671,8.0,1,5001,U1,15.0
421,186292,California,M,931,155,222.0,9,7968,20,46,192.0,180,5.571428571,1,509,C2,10.0
422,75180,IA,F,529,317,326.0,0,12494,3,76,340.0,319,10.5,28,4409,C2,15.0
423,88596,IL,F,1897,406,664.0,44,26951,15,67,519.0,476,10.0,28,912,U1,14.0
424,155266,California,F,641,123,279.0,3,8046,37,38,168.0,236,9.462962963,0,0,C3,11.0
425,13622,FL,M,715,247,342.0,2,15360,4,11,283.0,317,14.86666667,0,3201,S2,10.0
426,189853,MS,female,440,205,280.0,0,8314,0,63,238.0,249,7.166666667,1002,4306,0,8.0
427,175708,OR,M,532,436,428.0,0,12734,0,42,436.0,486,25.0,1,4201,S2,30.0
428,182243,WA,F,876,335,481.0,18,15179,6,31,409.0,426,8.3,0,3605,S2,10.0
429,171566,California,M,1175,272,396.0,7,12987,4,68,318.0,376,10.25,1,2201,T2,15.0
430,156266,California,F,3921,413,583.0,87,21648,10,55,410.0,575,13.57142857,0,3701,R1,20.0
431,41604,FL,F,919,413,532.0,0,17653,14,26,538.0,446,8.307692308,0,2401,S1,10.0
432,187678,NY,F,625,266,330.0,0,10031,2,68,276.0,316,5.222222222,0,0,S2,5.0
433,42165,FL,M,734,310,399.0,1,12868,3,45,348.0,365,16.5,0,0,T2,10.0
434,24507,SC,M,468,228,326.0,0,10910,1,84,300.0,278,21.5,1,3411,R2,25.0
435,44657,FL,M,583,302,362.0,0,13351,9,32,317.0,343,4.0,1002,4201,T2,5.0
436,10554,IL,M,314,206,280.0,0,10245,0,90,224.0,236,13.33333333,2,0,R3,20.0
437,33192,FL,F,671,341,385.0,0,12982,2,39,354.0,363,6.25,0,3501,C2,10.0
438,76470,IA,M,550,288,349.0,0,13538,1,82,344.0,303,9.642857143,1002,3307,T2,10.0
439,67075,MI,F,609,410,540.0,0,23275,1,72,551.0,490,13.23076923,2,4601,S2,18.0
440,169827,California,F,1650,397,479.0,19,15002,14,60,404.0,477,15.0,0,4801,S2,21.0
441,38734,FL,F,1979,350,738.0,50,42356,22,6,640.0,526,16.0,0,709,C1,26.0
442,65245,MI,F,473,302,409.0,0,13445,8,82,364.0,319,10.83333333,2,3101,U3,10.0
443,186396,AL,Male,679,277,347.0,0,13133,4,50,295.0,317,13.14285714,0,4311,T2,20.0
444,54160,TN,F,475,226,261.0,0,8709,0,73,260.0,241,15.0,0,2801,R3,10.0
446,7507,IL,M,1075,366,455.0,0,14394,1,90,449.0,373,10.10526316,1,2504,S2,10.0
447,4150,MO,F,580,310,374.0,0,12273,2,75,322.0,347,10.75,0,4412,C2,14.0
448,120041,TX,F,442,252,390.0,0,12929,2,69,341.0,325,6.285714286,2,5901,T2,8.0
449,51486,TN,M,325,119,210.0,0,8856,2,78,133.0,188,6.363636364,2,2805,C3,6.0
450,173348,California,M,1276,423,521.0,7,17032,5,51,524.0,497,5.5,28,2701,T2,8.0
451,74669,MI,F,438,267,314.0,0,10329,1,75,302.0,287,12.25,0,0,R2,20.0
452,64430,IN,F,386,258,358.0,1,12513,0,75,301.0,313,11.66666667,0,0,R2,13.0
453,156485,California,F,2433,403,502.0,86,18284,18,41,459.0,449,6.266666667,0,4101,U1,10.0
454,39935,FL,M,1464,305,472.0,7,22648,11,13,413.0,377,4.0,0,6001,C3,4.0
455,50187,TN,U,1052,482,541.0,9,20492,1,44,499.0,516,20.0,0,0,C1,20.0
456,26254,GA,F,998,488,602.0,21,29540,5,51,550.0,581,6.25,0,6801,C1,10.0
457,30433,GA,F,821,390,526.0,1,19734,2,58,475.0,425,17.1875,28,2201,C1,15.0
458,189373,California,F,2300,311,375.0,68,16133,27,42,345.0,350,5.533333333,0,1804,U2,15.0
459,91756,IL,M,1852,550,614.0,34,17690,7,86,561.0,602,7.368421053,2,5810,T1,7.0
460,182279,WA,F,663,205,277.0,0,10959,12,41,220.0,234,13.24,0,6201,C3,20.0
461,122465,TX,F,2056,906,957.0,52,29903,4,28,924.0,931,7.2,0,4501,C1,8.0
462,24666,SC,M,916,416,468.0,2,14496,1,72,435.0,444,10.9,1,5201,T2,15.0
463,19664,NC,M,2282,908,980.0,62,42236,12,34,945.0,938,18.0,1,2301,S1,10.0
464,162228,California,F,2883,501,649.0,89,34012,25,28,532.0,588,13.33333333,0,0,U1,25.0
465,76578,IA,M,637,379,407.0,0,12275,1,75,425.0,355,8.615384615,1,5602,C2,9.0
466,52740,TN,F,273,138,163.0,0,7089,0,75,150.0,152,7.604651163,0,1604,C3,8.0
467,159174,California,F,1709,368,454.0,13,14118,23,48,422.0,408,7.176470588,0,1504,C2,10.0
468,156903,California,M,2307,477,499.0,83,14345,13,58,478.0,490,3.214285714,1,3901,U2,3.0
469,177926,OR,M,691,263,360.0,2,12166,2,50,308.0,327,9.866666667,1,2604,R2,15.0
471,175637,OR,M,858,502,574.0,7,20867,6,52,505.0,555,15.0,1,4501,S1,20.0
472,32096,FL,M,351,205,254.0,0,8456,1,76,225.0,238,13.0,1,4501,R3,16.0
473,26946,GA,F,1672,722,770.0,17,29286,6,31,732.0,765,23.0,0,7001,0,30.0
474,160863,California,J,1069,267,369.0,0,11849,11,59,320.0,318,8.222222222,1002,0,C2,10.0
475,57162,KY,F,463,249,298.0,0,11621,1,88,265.0,308,11.5,0,5501,T2,20.0
476,12220,TN,M,470,245,348.0,0,12519,0,73,273.0,314,6.555555556,0,5301,T2,5.0
477,170563,California,F,1248,289,379.0,1,17282,6,47,348.0,346,7.5,0,3201,U3,5.0
478,79389,WI,male,492,316,339.0,0,12451,1,80,349.0,304,10.14285714,0,3101,T2,11.0
479,180752,WA,male,2800,368,528.0,62,25386,9,34,438.0,500,6.166666667,1,3901,C1,8.0
480,82701,MN,F,994,437,540.0,11,18133,4,72,488.0,491,10.0,2,6001,S1,25.0
481,158506,California,F,1654,159,313.0,20,8018,32,44,203.0,266,10.0,28,5201,U3,15.0
482,84708,MN,F,653,327,395.0,0,13079,0,25,364.0,350,17.0,28,3801,T2,25.0
483,103543,MO,M,402,162,241.0,0,9434,0,65,192.0,210,9.214285714,1,1908,R3,11.0
484,164175,California,F,1914,351,437.0,46,18951,6,51,399.0,392,9.090909091,2,0,R2,15.0
485,145120,California,F,5619,572,995.0,97,43978,6,33,942.0,649,12.54545455,28,3707,U1,10.0
486,55358,MS,female,426,139,156.0,2,4437,1,94,130.0,169,15.83333333,0,4808,C3,30.0
487,26665,GA,M,670,268,383.0,3,13147,1,76,321.0,336,7.375,1,0,T3,30.0
488,42279,FL,F,400,216,279.0,1,9840,4,36,242.0,247,5.6,28,3301,T3,5.0
490,123822,TN,F,535,269,375.0,1,14661,1,72,318.0,328,7.6,0,0,S1,10.0
491,22038,NC,M,444,222,291.0,1,10074,1,73,259.0,259,9.95,1,4401,R3,10.0
492,185024,MN,F,476,202,304.0,0,10581,2,80,274.0,236,23.85294118,0,605,R2,8.0
493,129600,CO,F,593,256,399.0,0,37734,7,55,298.0,336,13.0,0,3705,U4,20.0
494,107613,California,M,2238,580,605.0,75,18247,9,50,602.0,587,3.25,0,0,R2,7.0
496,152990,California,F,1775,445,469.0,14,15256,13,46,443.0,490,10.0,0,6101,C2,20.0
497,88766,IL,M,2549,715,839.0,69,28878,15,70,757.0,786,11.0,1,4709,S1,15.0
498,4522,California,M,2356,523,615.0,83,21871,8,49,560.0,560,16.09090909,1,1402,S1,20.0
499,32350,FL,M,913,256,338.0,5,14424,7,16,289.0,309,13.0,0,1809,R1,20.0
500,74774,AR,M,500,245,314.0,3,12271,1,81,308.0,304,15.0,0,0,C1,21.0
501,67475,MI,F,687,111,172.0,0,6615,7,65,90.0,171,5.222222222,28,6201,C3,5.0
502,104267,KS,M,284,231,299.0,0,9838,0,83,258.0,269,4.4375,0,0,R2,5.0
503,131031,CO,F,678,155,306.0,0,8675,3,34,242.0,196,8.105263158,2,604,C2,18.0
504,158058,California,M,1685,430,540.0,16,15765,19,33,479.0,449,7.611111111,0,4307,U3,5.0
505,181755,WA,F,1461,313,464.0,20,20659,7,31,342.0,411,5.0,2,0,C1,5.0
506,181412,WA,male,538,227,308.0,1,10590,1,61,252.0,278,5.0,1,3301,R2,5.0
507,185602,WI,F,400,232,315.0,0,10504,1,86,279.0,264,9.533333333,28,0,R2,10.0
508,23603,SC,M,824,348,400.0,0,14663,2,40,371.0,365,12.5,1,5801,S2,25.0
509,112943,OK,F,855,345,560.0,10,17869,2,64,384.0,508,8.729166667,2,3601,T1,12.0
510,44853,FL,M,578,246,323.0,0,14121,3,13,323.0,275,10.64285714,1,2912,C3,12.0
511,83094,MN,F,699,246,319.0,0,11020,1,81,254.0,304,13.6,0,1211,T2,20.0
512,148166,California,F,5372,673,892.0,97,44570,16,42,845.0,801,18.75,0,0,S1,20.0
513,101113,MO,F,839,456,485.0,2,14713,1,65,465.0,475,9.625,0,5801,C2,10.0
514,101889,MO,F,662,424,456.0,0,13377,0,79,436.0,444,13.5,0,5111,S2,16.0
515,58808,KY,F,575,228,327.0,1,12600,0,72,299.0,261,10.5,0,1401,T2,10.0
516,85498,MN,F,281,176,235.0,0,7683,0,86,207.0,208,5.909090909,0,0,R3,10.0
517,153864,California,F,3370,763,871.0,88,32072,16,33,824.0,824,9.888888889,0,5201,S1,20.0
518,145496,California,M,2803,555,620.0,88,17655,15,52,616.0,546,12.2,1,5111,U1,22.0
519,27566,GA,M,601,249,306.0,1,11235,4,67,274.0,286,15.0,0,0,C3,30.0
520,38031,FL,M,828,401,451.0,0,13716,31,31,396.0,451,12.5,1,5801,S2,10.0
523,16863,NC,female,951,307,487.0,11,17187,6,39,427.0,370,15.0,2,3301,C1,50.0
525,142554,California,M,1811,350,466.0,33,18591,12,52,405.0,440,13.75,0,1601,U2,15.0
526,10789,MN,F,534,284,351.0,0,11303,2,83,321.0,308,5.290322581,2,2309,R2,3.0
527,64224,IN,F,866,443,472.0,3,10484,1,57,453.0,454,12.83333333,0,3811,T1,20.0
528,6695,IL,M,471,299,347.0,0,14658,0,87,334.0,303,5.647058824,0,6609,C2,6.0
529,139799,NM,F,987,405,599.0,4,20940,8,42,544.0,490,25.0,0,5301,T1,25.0
530,1254,TX,M,1102,613,676.0,0,20557,4,46,639.0,648,25.0,1,4801,S1,30.0
531,1549,California,M,5863,1500,1150.0,98,174523,20,40,1500.0,1146,50.0,0,1604,S1,50.0
532,2159,SD,F,198,193,256.0,0,8898,1,48,211.0,237,9.266666667,2,1901,R2,9.0
533,80903,WI,male,658,305,376.0,3,13284,0,74,318.0,353,6.318181818,1002,6206,T1,15.0
534,186731,FL,F,512,175,236.0,0,12221,14,11,198.0,208,11.125,28,3407,0,15.0
535,67342,MI,M,886,367,497.0,9,17984,6,74,458.0,433,11.28571429,1,1312,S2,30.0
536,30366,OK,M,1429,724,813.0,12,34070,4,48,759.0,755,5.1875,2,3601,C1,6.0
537,64441,IN,M,386,258,358.0,1,12513,0,75,301.0,313,5.428571429,1,5401,R3,10.0
538,175155,OR,F,740,211,312.0,3,12165,3,46,259.0,257,10.0,28,4801,R2,21.0
539,82015,WI,F,543,306,337.0,0,11140,0,94,314.0,321,10.91666667,2,2812,R2,18.0
540,170912,California,M,1896,502,555.0,45,17405,6,56,511.0,548,15.0,0,4401,S1,20.0
541,183055,WA,F,876,337,439.0,3,15017,4,37,353.0,403,7.875,2,3704,S2,10.0
542,134032,UT,F,575,305,368.0,0,9906,1,80,349.0,326,15.0,2,0,R2,10.0
543,186573,WI,F,900,488,563.0,2,18369,1,84,524.0,537,7.692307692,0,0,T2,3.0
544,37299,FL,F,1171,272,383.0,4,14539,17,15,323.0,329,9.888888889,2,5502,C2,15.0
545,165746,California,M,1429,492,508.0,1,14106,15,48,497.0,507,4.75,0,703,C2,10.0
546,189520,California,M,4143,617,755.0,97,25985,9,59,690.0,704,13.72727273,1,1902,S1,20.0
547,26579,GA,F,858,388,494.0,7,19457,0,75,418.0,429,7.785714286,0,4301,T2,10.0
548,109583,LA,F,582,301,354.0,1,11139,0,80,325.0,321,4.0,0,4501,T2,5.0
549,40341,FL,F,902,410,461.0,4,15332,13,28,413.0,460,10.0,2,2401,S2,15.0
550,111615,AR,Female,356,229,225.0,0,8075,0,85,236.0,219,12.33333333,0,5306,C3,25.0
551,93397,IL,F,582,288,279.0,0,8165,0,75,288.0,286,20.0,0,0,U3,20.0
552,5881,California,M,2469,340,522.0,71,23188,5,54,411.0,475,13.25,1,1701,U1,12.0
553,93184,IL,F,0,315,581.0,0,34143,5,46,423.0,417,5.4375,0,1708,U1,10.0
554,9946,IL,F,1107,428,497.0,0,15788,4,80,476.0,432,7.764705882,2,2605,U2,5.0
555,46671,AL,Male,746,366,433.0,1,13901,1,73,409.0,399,9.818181818,0,5701,T1,10.0
556,172750,California,M,967,300,412.0,11,13399,6,58,348.0,342,18.66666667,1,5401,C2,25.0
557,22264,NC,M,1250,319,540.0,8,25660,3,33,411.0,429,22.5,1,3001,C1,10.0
558,56479,KY,F,139,63,137.0,0,5159,0,77,106.0,92,3.3125,2,2601,U4,4.0
559,164372,California,M,1861,402,527.0,38,22794,12,49,499.0,461,14.0,1,5501,S1,25.0
560,5140,California,M,3247,653,732.0,94,24693,5,63,666.0,722,6.147058824,1,2201,S1,7.0
561,32198,FL,F,1146,384,504.0,20,24850,10,9,435.0,447,7.5,0,4401,C1,9.0
562,113607,OK,F,415,212,325.0,1,11659,1,71,262.0,281,9.333333333,0,0,T2,15.0
563,19499,NC,female,854,382,419.0,3,14002,3,52,407.0,406,22.5,0,0,C1,20.0
564,73028,MI,M,496,301,372.0,0,11714,2,84,317.0,351,8.833333333,1,4704,R2,9.0
565,35553,FL,F,726,302,363.0,0,12484,5,33,334.0,326,10.66666667,2,0,S2,20.0
566,35463,FL,M,1028,394,584.0,19,25787,3,31,493.0,483,20.0,0,3701,C1,30.0
567,91591,IL,M,1464,256,457.0,23,22015,9,84,413.0,294,9.857142857,1,0,C1,10.0
568,109099,LA,F,719,313,391.0,2,12333,0,84,337.0,373,6.428571429,0,5701,T2,6.0
569,174182,HI,F,3063,337,506.0,78,21051,22,41,429.0,418,20.0,0,3201,U1,20.0
570,183722,WA,F,684,280,355.0,1,11763,2,57,311.0,326,12.2,0,4808,R2,20.0
571,98374,IL,F,376,268,344.0,0,11979,0,86,339.0,304,6.217391304,0,2008,C2,15.0
572,126681,TX,F,927,386,484.0,5,16777,2,57,417.0,448,9.733333333,28,3911,R2,15.0
573,147936,California,M,3511,373,491.0,92,23187,44,25,452.0,421,5.466666667,1,901,U1,5.0
574,152133,California,F,1185,354,383.0,0,11061,16,48,373.0,369,21.66666667,28,0,S3,5.0
575,57929,KY,F,453,215,302.0,1,9722,0,82,260.0,266,8.307692308,2,3503,R3,10.0
576,15697,NC,U,535,283,336.0,1,12206,3,77,307.0,306,14.0,0,0,R2,20.0
577,92814,IL,F,747,458,503.0,0,14965,13,63,489.0,475,10.0,0,6401,U1,25.0
578,98282,IL,M,439,362,404.0,0,13570,1,89,388.0,371,10.6,0,3505,R2,15.0
579,27798,GA,F,935,419,541.0,8,16922,1,61,439.0,510,11.21428571,0,4301,T2,10.0
580,45503,FL,M,616,212,282.0,1,11912,5,16,234.0,248,5.133333333,1,3709,C3,5.0
581,6006,CO,F,947,300,469.0,3,17986,2,43,360.0,342,85.0,0,1602,C1,100.0
582,138182,AZ,Female,572,204,253.0,1,10858,7,36,242.0,238,6.0,28,2911,C2,5.0
