Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class
ZB62469,California,M,High School or Below,216168.55%,0,67,1/2/00,482.4,Corporate Auto,Two-Door Car
HZ74609,Oregon,F,Bachelor,552798.89%,0,72,1/0/00,345.6,Personal Auto,Four-Door Car
TJ76363,Arizona,F,Doctor,1062921.79%,36495,133,1/1/00,229.930796,Corporate Auto,SUV
QZ58370,Nevada,F,Bachelor,1182010.98%,86801,98,1/0/00,371.108203,Personal Auto,Four-Door Car
RF44930,California,M,College,496463.15%,52679,62,1/0/00,117.998498,Personal Auto,Four-Door Car
VJ44100,California,M,Master,912292.56%,90804,113,1/0/00,434.09776,Personal Auto,Sports Car
KN13494,Washington,F,Master,518162.09%,97131,6464,1/0/00,307.2,Personal Auto,Four-Door Car
NL80137,Oregon,F,College,346066.50%,14262,90,1/0/00,290.432527,Personal Auto,Four-Door Car
NZ57065,Oregon,M,Bachelor,287298.08%,36844,73,1/0/00,283.966321,Personal Auto,Four-Door Car
NM42917,Arizona,F,College,992787.77%,58703,127,1/2/00,227.916076,Personal Auto,SUV
RR68322,Nevada,M,High School or Below,348268.70%,65162,86,1/0/00,134.430084,Personal Auto,Four-Door Car
OF78862,Oregon,F,College,399172.72%,54964,99,1/0/00,525.515271,Personal Auto,Four-Door Car
SC93784,Oregon,M,Bachelor,551010.74%,61401,69,1/0/00,144.439335,Personal Auto,Four-Door Car
CM59084,Oregon,F,High School or Below,360093.43%,25147,101,1/0/00,694.598288,Corporate Auto,SUV
QA41558,Oregon,F,Master,541945.81%,73536,67,1/0/00,172.518524,Personal Auto,Two-Door Car
SD62061,Oregon,F,High School or Below,581063.05%,24860,73,1/0/00,350.4,Personal Auto,Four-Door Car
VP13613,California,M,Bachelor,394272.58%,65404,99,1/0/00,300.703109,Personal Auto,Four-Door Car
HF96939,Oregon,M,High School or Below,312627.19%,34510,81,1/0/00,388.8,Personal Auto,Four-Door Car
DU18362,California,M,Bachelor,353000.77%,0,108,1/0/00,777.6,Corporate Auto,Two-Door Car
UG34438,Washington,F,College,1099059.48%,44552,137,1/0/00,311.103582,Personal Auto,SUV
XQ19793,Arizona,M,High School or Below,477294.38%,20993,133,1/0/00,638.4,Personal Auto,SUV
OB77084,Oregon,F,Bachelor,220233.52%,0,61,1/1/00,292.8,Personal Auto,Two-Door Car
LK74984,Washington,M,High School or Below,245917.17%,21190,65,1/2/00,312,Personal Auto,Four-Door Car
JE13986,Arizona,F,College,1037388.88%,62587,86,1/0/00,412.8,Personal Auto,Four-Door Car
QR15221,Washington,F,High School or Below,258420.39%,22562,65,1/0/00,312,Personal Auto,Two-Door Car
LD49835,California,M,High School or Below,430742.28%,73345,107,1/0/00,513.6,Personal Auto,SUV
EK19337,Oregon,F,High School or Below,304025.38%,0,83,1/0/00,989.105367,Personal Auto,Four-Door Car
GD55093,California,F,Master,1916098.99%,22705,239,1/0/00,1294.700423,Personal Auto,Luxury SUV
RX19151,Washington,M,Bachelors,817657.68%,67137,111,1/5/00,314.880326,Personal Auto,SUV
TJ30354,Oregon,F,Bachelor,528530.76%,22627,67,1/0/00,321.6,Personal Auto,Four-Door Car
TA75663,California,F,Master,802499.30%,38702,101,1/3/00,253.364333,Personal Auto,SUV
WG15841,California,M,Bachelor,281046.44%,26790,71,1/0/00,340.8,Personal Auto,Two-Door Car
LO68739,Arizona,F,Bachelor,773955.04%,64859,96,1/0/00,266.949266,Personal Auto,Four-Door Car
BE61743,Washington,M,Bachelor,410979.36%,86657,103,1/0/00,316.227946,Personal Auto,Sports Car
EG56026,Nevada,F,High School or Below,327516.20%,69263,81,1/2/00,494.847804,Personal Auto,Two-Door Car
VF21395,Oregon,M,Bachelor,265269.53%,82655,66,1/0/00,316.8,Personal Auto,Two-Door Car
SI11249,California,F,High School or Below,504822.62%,29401,65,1/0/00,312,Personal Auto,Four-Door Car
PU95227,Washington,M,Bachelors,336241.44%,22853,87,1/0/00,316.35678,Personal Auto,Four-Door Car
VO87785,Arizona,F,College,485842.94%,26480,63,1/0/00,378.695238,Personal Auto,Two-Door Car
FS29897,Oregon,F,High School or Below,214492.15%,0,61,1/1/00,292.8,Personal Auto,Four-Door Car
JG36165,California,M,Bachelor,604261.85%,0,83,1/0/00,904.385726,Personal Auto,Two-Door Car
SJ42058,Oregon,F,High School or Below,338720.33%,73268,84,1/0/00,93.623377,Personal Auto,Four-Door Car
CU13711,Oregon,F,Doctor,1086427.49%,95579,67,1/0/00,308.631159,Personal Auto,Four-Door Car
GT65065,Oregon,F,Master,884265.00%,42142,112,1/0/00,396.17554,Personal Auto,Sports Car
LO77543,Washington,M,College,261661.39%,72302,66,1/0/00,316.8,Special Auto,Two-Door Car
UQ85283,California,M,Bachelor,3076325.64%,41279,115,1/0/00,251.429988,Personal Auto,Sports Car
QA49556,Washington,M,Master,520022.78%,23401,66,1/0/00,316.8,Personal Auto,Four-Door Car
GE29173,Nevada,M,Bachelor,859130.54%,0,128,1/0/00,1448.994134,Corporate Auto,SUV
DF21541,Arizona,F,College,264657.38%,23170,71,1/0/00,340.8,Personal Auto,Four-Door Car
JL59571,Oregon,F,Bachelor,460724.43%,17343,63,1/0/00,208.659743,Corporate Auto,Two-Door Car
DF94525,Oregon,M,College,486062.00%,25854,68,1/0/00,396.284835,Personal Auto,Four-Door Car
YO58424,Oregon,M,College,258084.99%,46900,66,1/0/00,316.8,Corporate Auto,Four-Door Car
UF32671,Washington,F,College,529139.53%,57338,66,1/0/00,316.8,Personal Auto,Four-Door Car
HO92982,California,M,High School or Below,840575.30%,85355,71,1/2/00,458.568921,Personal Auto,Two-Door Car
MZ24175,Arizona,F,College,309651.12%,21604,79,1/0/00,379.2,Personal Auto,Four-Door Car
YD48962,Arizona,M,High School or Below,2941228.93%,0,107,1/0/00,513.6,Personal Auto,SUV
RI52095,Washington,M,High School or Below,,51878,66,1/1/00,316.8,Personal Auto,Four-Door Car
MF18493,California,M,College,1749752.20%,0,73,1/0/00,350.4,Personal Auto,Two-Door Car
EP61084,Nevada,F,High School or Below,321860.86%,68776,80,1/0/00,87.861666,Personal Auto,Four-Door Car
EN38348,Oregon,F,High School or Below,2320726.97%,45039,96,1/0/00,192.144838,Personal Auto,Four-Door Car
FG46258,Washington,F,College,692197.40%,16483,90,1/0/00,320.519977,Corporate Auto,Two-Door Car
LS98306,Nevada,M,High School or Below,1391853.48%,64113,117,1/0/00,561.6,Special Auto,Four-Door Car
PZ47477,Arizona,M,High School or Below,896630.98%,41829,76,1/0/00,416.365369,Personal Auto,Two-Door Car
LT32391,California,F,Master,1198198.48%,21514,62,1/0/00,257.248789,Personal Auto,Two-Door Car
KK30016,Nevada,M,Master,553262.98%,27722,69,1/0/00,331.2,Personal Auto,Four-Door Car
OA89218,Nevada,F,College,1166057.30%,21506,151,1/0/00,826.658992,Personal Auto,Sports Car
CY47265,Oregon,F,High School or Below,288645.16%,10312,78,1/0/00,486.278557,Personal Auto,Four-Door Car
ZI47663,Arizona,F,Bachelor,1274184.75%,73054,106,1/1/00,419.365958,Personal Auto,SUV
GO14008,Oregon,F,Bachelor,539809.81%,73775,67,1/0/00,321.6,Personal Auto,Four-Door Car
BC43958,California,M,High School or Below,728503.10%,44788,61,1/0/00,386.031248,Corporate Auto,Four-Door Car
AI61368,Nevada,F,High School or Below,1765196.34%,22510,95,1/0/00,456,Personal Auto,Four-Door Car
UF37831,Arizona,M,Master,1702989.34%,54613,213,1/0/00,731.559007,Personal Auto,Luxury SUV
PO90615,Arizona,F,High School or Below,249125.76%,25965,65,1/0/00,329.206567,Personal Auto,Four-Door Car
GY74661,Oregon,F,College,403931.50%,34911,105,1/1/00,126.779673,Personal Auto,SUV
MX50302,Oregon,M,Bachelor,261933.74%,78618,66,1/0/00,225.578841,Special Auto,Two-Door Car
TC84427,Oregon,F,High School or Below,504968.96%,61080,66,1/2/00,294.284951,Personal Auto,Four-Door Car
IQ82914,Oregon,F,Master,498345.71%,60415,62,1/0/00,72.665253,Personal Auto,Two-Door Car
TY74870,California,F,Master,253063.94%,25143,66,1/0/00,8.737111,Corporate Auto,Four-Door Car
II83628,California,M,College,739671.97%,41045,64,1/1/00,394.582401,Personal Auto,Four-Door Car
ZR77995,California,M,College,383289.85%,97729,95,1/0/00,97.176153,Personal Auto,Four-Door Car
QT89604,Arizona,F,High School or Below,496140.59%,55702,61,1/0/00,151.13336,Personal Auto,Four-Door Car
AB21519,California,F,College,386148.63%,93272,95,1/0/00,281.110788,Personal Auto,Four-Door Car
MP47256,California,M,Bachelor,2265853.65%,23665,67,1/0/00,404.817249,Personal Auto,Four-Door Car
MA47641,Oregon,M,High School or Below,1040896.87%,20228,101,1/1/00,523.815839,Personal Auto,SUV
GQ20713,Nevada,F,College,483471.05%,38713,66,1/4/00,316.8,Personal Auto,Four-Door Car
WW87934,Arizona,F,Bachelor,825766.65%,23815,73,1/0/00,424.330166,Personal Auto,Four-Door Car
HF75276,Nevada,F,High School or Below,305262.95%,0,93,1/3/00,446.4,Personal Auto,Four-Door Car
ET64028,California,F,High School or Below,401231.93%,47221,99,1/0/00,475.2,Personal Auto,Two-Door Car
QA41472,Oregon,M,Bachelor,1335548.64%,34495,113,1/0/00,389.673944,Personal Auto,SUV
OZ92426,Oregon,M,College,236443.16%,46264,62,1/0/00,199.37361,Corporate Auto,Four-Door Car
UM69933,Nevada,M,College,248933.79%,46051,63,1/0/00,302.4,Personal Auto,Two-Door Car
RQ11502,Nevada,F,Bachelor,475572.00%,23975,128,1/0/00,614.4,Corporate Auto,SUV
TX98128,California,F,College,1386438.50%,0,74,1/4/00,580.886785,Personal Auto,Four-Door Car
XY52165,Arizona,F,College,302042.48%,78561,74,1/0/00,355.2,Personal Auto,Two-Door Car
GB39003,California,M,High School or Below,628530.52%,0,90,1/0/00,432,Personal Auto,Two-Door Car
VH43367,California,F,High School or Below,250602.20%,61402,63,1/2/00,302.4,Special Auto,Four-Door Car
KG81168,Arizona,M,Bachelor,282630.76%,65090,71,1/0/00,73.995096,Personal Auto,Four-Door Car
WU14549,Nevada,M,Master,436971.79%,88495,108,1/0/00,535.926948,Personal Auto,Two-Door Car
XB17553,Nevada,M,Bachelor,1217458.80%,52797,104,1/1/00,88.173438,Personal Auto,Sports Car
MY88518,Nevada,M,Doctor,352804.43%,31278,92,1/4/00,441.6,Personal Auto,Two-Door Car
XE18554,California,F,Bachelor,1043657.47%,24177,92,1/1/00,441.6,Personal Auto,Four-Door Car
NY97446,Oregon,F,High School or Below,274612.14%,96339,68,1/0/00,293.205349,Corporate Auto,Four-Door Car
VT96364,California,M,Bachelor,917517.19%,68164,119,1/2/00,222.582872,Personal Auto,Four-Door Car
HF88410,Washington,NA,High School or Below,,36765,66,1/1/00,320.849072,Personal Auto,Four-Door Car
DP92488,Washington,F,Doctor,272752.08%,74592,67,1/0/00,321.6,Personal Auto,Two-Door Car
VC54081,Oregon,F,College,944974.59%,0,63,1/0/00,117.744416,Special Auto,Four-Door Car
CE94751,California,M,College,456881.94%,0,70,1/1/00,524.836298,Personal Auto,Two-Door Car
VM85856,Oregon,F,Master,257402.04%,34990,65,1/0/00,42.689135,Personal Auto,Four-Door Car
EH37385,Arizona,F,Master,878988.41%,22849,109,1/0/00,523.2,Personal Auto,Sports Car
FI45719,Arizona,M,Doctor,250740.78%,32893,63,1/0/00,174.086385,Personal Auto,Four-Door Car
SB79528,Oregon,M,College,252241.46%,0,73,1/0/00,350.4,Corporate Auto,Two-Door Car
WH81461,Nevada,M,College,754271.40%,0,111,1/0/00,1186.972445,Personal Auto,SUV
UD47050,Oregon,M,High School or Below,600521.48%,26876,76,1/0/00,364.8,Corporate Auto,Four-Door Car
XZ17273,Nevada,M,Bachelor,2099825.95%,71663,74,1/0/00,84.494022,Corporate Auto,Four-Door Car
XR97812,California,M,College,234508.45%,0,69,1/0/00,331.2,Personal Auto,Four-Door Car
BW88060,California,F,High School or Below,878316.54%,16994,112,1/0/00,806.4,Personal Auto,SUV
CP32818,Oregon,M,Bachelor,452996.54%,64270,117,1/0/00,46.104534,Personal Auto,Sports Car
CM52565,Nevada,F,High School or Below,603322.24%,0,83,1/0/00,597.6,Corporate Auto,Four-Door Car
YP40334,Oregon,F,Doctor,530824.70%,0,145,1/0/00,358.765757,Personal Auto,SUV
KD63998,California,M,College,267473.07%,56342,69,1/0/00,331.2,Personal Auto,Four-Door Car
VC77127,California,F,High School or Below,492980.75%,0,70,1/0/00,837.438442,Personal Auto,Four-Door Car
AM30008,California,M,High School or Below,1413112.13%,28327,185,1/0/00,888,Personal Auto,Luxury Car
PC83755,Oregon,M,High School or Below,247152.84%,95697,61,1/0/00,114.273025,Personal Auto,Two-Door Car
XS22323,Arizona,M,High School or Below,600521.48%,26876,76,1/0/00,364.8,Personal Auto,Four-Door Car
ST27958,Washington,M,College,438627.76%,10621,67,1/0/00,321.6,Personal Auto,Four-Door Car
BH23017,Nevada,F,Bachelor,1911656.81%,0,61,1/0/00,657.808231,Personal Auto,Two-Door Car
OD18225,California,M,College,663166.55%,32918,84,1/0/00,403.2,Personal Auto,Four-Door Car
VE31507,Oregon,F,High School or Below,743229.99%,0,71,1/0/00,447.333545,Personal Auto,Four-Door Car
NR18672,Nevada,M,High School or Below,292811.51%,63127,74,1/1/00,174.292234,Personal Auto,Two-Door Car
DM76654,California,M,College,4661187.38%,22022,136,1/0/00,979.2,Personal Auto,SUV
YY11432,Oregon,F,High School or Below,1651500.93%,51725,138,1/1/00,159.004261,Personal Auto,SUV
GK67747,Washington,M,College,438627.76%,10621,67,1/0/00,321.6,Special Auto,Four-Door Car
XA75063,Oregon,F,College,1021356.34%,39719,131,1/0/00,628.8,Personal Auto,Sports Car
PQ13422,Nevada,M,College,1004928.59%,58194,84,1/0/00,450.996589,Personal Auto,Four-Door Car
NA89685,Oregon,M,College,574614.83%,61990,72,1/0/00,48.884434,Personal Auto,Four-Door Car
AL35726,Oregon,F,College,374675.16%,41479,94,1/1/00,19.575683,Personal Auto,Two-Door Car
WO70078,Oregon,F,Bachelor,748606.84%,97899,95,1/3/00,3.772105,Personal Auto,Four-Door Car
CA56041,Nevada,F,College,912006.52%,63878,113,1/0/00,370.285349,Personal Auto,SUV
HI41970,Oregon,F,High School or Below,567804.67%,68671,70,1/0/00,8.076879,Special Auto,Two-Door Car
AU46443,Nevada,F,Bachelor,751708.38%,0,102,1/0/00,1178.995926,Personal Auto,SUV
WC35554,Oregon,M,College,453053.07%,34640,117,1/2/00,466.318191,Personal Auto,Sports Car
JR10216,California,F,Bachelor,269138.06%,21959,71,1/0/00,340.8,Corporate Auto,Four-Door Car
OH11674,Arizona,F,Bachelor,806862.39%,51584,69,1/2/00,368.919773,Corporate Auto,Two-Door Car
US85318,Oregon,F,Bachelor,247857.67%,65744,62,1/0/00,166.507217,Corporate Auto,Four-Door Car
FS19862,Arizona,F,Bachelor,911204.15%,25198,118,1/0/00,566.4,Personal Auto,SUV
ZP80713,Arizona,F,Master,277244.13%,79663,69,1/0/00,263.957201,Personal Auto,Two-Door Car
OK50159,Arizona,F,Bachelor,430579.32%,31071,111,1/2/00,215.23091,Personal Auto,Sports Car
TP54769,California,F,Bachelor,510335.76%,39452,131,1/0/00,398.190882,Corporate Auto,SUV
FS49381,Oregon,F,Bachelor,478496.05%,25813,61,1/0/00,205.332749,Personal Auto,Four-Door Car
DQ79499,Oregon,F,Doctor,1054110.98%,59965,131,1/0/00,905.030448,Personal Auto,SUV
VH31965,Washington,Male,Bachelor,528511.87%,40783,67,1/1/00,321.6,Personal Auto,Four-Door Car
VO25602,Nevada,F,College,761084.05%,98701,94,1/0/00,79.615631,Personal Auto,Four-Door Car
EP93369,Arizona,F,College,851052.59%,0,121,1/0/00,871.2,Personal Auto,Sports Car
DQ45854,Oregon,F,College,1617294.05%,64388,68,1/0/00,12.394834,Personal Auto,Four-Door Car
QG15661,Oregon,M,College,242549.48%,66841,62,1/0/00,123.436634,Personal Auto,Four-Door Car
YA80645,Oregon,F,High School or Below,289931.72%,33738,74,1/1/00,304.390472,Corporate Auto,Four-Door Car
TW16499,California,M,Bachelor,363305.40%,43334,95,1/2/00,614.367195,Corporate Auto,Two-Door Car
UP97629,California,F,College,345715.42%,0,91,1/0/00,245.673365,Personal Auto,Four-Door Car
NU42684,Nevada,F,College,339472.03%,83431,84,1/0/00,403.2,Personal Auto,Four-Door Car
EM85557,Washington,F,College,802106.71%,54292,67,1/0/00,321.6,Personal Auto,Four-Door Car
BM69818,Oregon,M,Bachelor,584152.81%,0,79,1/0/00,379.2,Personal Auto,Four-Door Car
HK15299,California,M,High School or Below,547985.42%,38210,69,1/0/00,383.043363,Personal Auto,Four-Door Car
NP88496,Nevada,F,High School or Below,2045524.95%,0,67,1/0/00,482.4,Personal Auto,Four-Door Car
SB99002,Oregon,F,Bachelor,831912.30%,49734,69,1/0/00,154.748539,Corporate Auto,Four-Door Car
ZH42145,Washington,F,High School or Below,258286.23%,50148,65,1/0/00,323.485239,Corporate Auto,Four-Door Car
JG30837,Oregon,M,College,416379.34%,11689,117,1/0/00,561.6,Corporate Auto,SUV
AC22873,Arizona,F,High School or Below,485310.03%,17120,125,1/0/00,717.285949,Special Auto,SUV
RO85831,Oregon,M,High School or Below,753169.73%,82157,188,1/0/00,1353.6,Corporate Auto,Luxury Car
NN65845,Washington,F,Bachelors,258593.70%,21603,68,1/2/00,326.4,Personal Auto,Four-Door Car
RZ27571,Washington,F,Bachelor,269596.39%,25544,68,1/0/00,326.4,Personal Auto,Four-Door Car
GH31557,California,M,High School or Below,268458.16%,98121,67,1/0/00,383.655742,Personal Auto,Two-Door Car
MK73855,Washington,F,High School or Below,810936.46%,32314,68,1/0/00,326.4,Personal Auto,Four-Door Car
IO27771,Oregon,F,College,903665.76%,89382,112,1/0/00,573.990258,Corporate Auto,Four-Door Car
HB99061,Arizona,F,High School or Below,535218.70%,97742,132,1/0/00,199.590599,Corporate Auto,SUV
HQ82089,Arizona,F,High School or Below,1188096.62%,0,114,1/0/00,820.8,Personal Auto,Four-Door Car
JN72184,Oregon,M,College,255709.43%,0,73,1/0/00,525.6,Corporate Auto,Four-Door Car
WQ46946,California,F,College,791482.31%,77153,99,1/1/00,355.641958,Personal Auto,Four-Door Car
WJ44028,California,M,Master,984008.26%,94590,81,1/0/00,388.8,Personal Auto,Two-Door Car
WH77063,Arizona,F,High School or Below,435155.05%,74163,108,1/0/00,518.4,Personal Auto,Four-Door Car
FI13966,Oregon,F,High School or Below,2220782.62%,40450,287,1/3/00,1377.6,Personal Auto,Luxury SUV
AQ46199,Oregon,M,High School or Below,482525.86%,0,71,1/0/00,511.2,Personal Auto,Two-Door Car
WV69362,Arizona,F,High School or Below,694783.88%,0,99,1/0/00,475.2,Corporate Auto,Two-Door Car
RJ90816,California,F,College,334480.95%,33243,85,1/0/00,24.555177,Personal Auto,Four-Door Car
NH19236,Arizona,M,Master,235750.31%,0,64,1/0/00,199.791024,Personal Auto,Four-Door Car
VW88911,Oregon,M,High School or Below,3594471.05%,0,114,1/0/00,820.8,Corporate Auto,Four-Door Car
NV14535,Nevada,M,High School or Below,1040896.87%,20228,101,1/1/00,523.815839,Personal Auto,SUV
BM66931,Arizona,F,High School or Below,404816.13%,92801,100,1/0/00,407.045238,Personal Auto,SUV
JW24035,Oregon,M,College,685200.19%,0,69,1/1/00,406.999443,Personal Auto,Four-Door Car
PG82270,California,M,College,290302.42%,36845,74,1/0/00,355.2,Personal Auto,Four-Door Car
RW65101,California,F,College,1803911.42%,0,63,1/0/00,503.204804,Personal Auto,Four-Door Car
QO79771,California,F,Master,324204.39%,72330,81,1/2/00,126.509441,Personal Auto,Four-Door Car
EC44438,Nevada,F,Bachelor,246762.08%,19352,65,1/0/00,724.463534,Personal Auto,Four-Door Car
MW54213,Arizona,M,College,567438.34%,0,62,1/5/00,297.6,Personal Auto,Four-Door Car
ZN33412,Arizona,F,College,863435.60%,25073,79,1/0/00,379.2,Personal Auto,Four-Door Car
HZ56678,Oregon,F,High School or Below,278019.69%,20261,72,1/0/00,345.6,Personal Auto,Four-Door Car
AN36757,Oregon,M,Master,2205600.50%,66851,92,1/2/00,408.550442,Personal Auto,Four-Door Car
NB54665,Arizona,F,High School or Below,251459.20%,43860,65,1/0/00,156.124914,Corporate Auto,Four-Door Car
MG99229,Oregon,M,College,588622.11%,0,180,1/0/00,1777.471271,Corporate Auto,Luxury Car
MX76292,California,F,Doctor,770603.63%,48019,64,1/0/00,137.665031,Corporate Auto,Four-Door Car
EJ90880,California,M,College,279045.82%,28786,71,1/1/00,345.619809,Personal Auto,Four-Door Car
WO95180,California,F,High School or Below,239703.61%,22283,65,1/0/00,572.072106,Corporate Auto,Four-Door Car
BU53191,Arizona,F,Bachelor,883432.28%,34133,111,1/0/00,226.9684,Personal Auto,SUV
ZK54897,Arizona,M,Master,1443567.37%,60880,119,1/0/00,109.906628,Personal Auto,Two-Door Car
PP48389,California,F,Bachelor,687196.66%,0,196,1/2/00,940.8,Personal Auto,Sports Car
XD29421,Oregon,M,High School or Below,1536235.44%,48115,192,1/0/00,1382.4,Personal Auto,Luxury Car
OP26403,California,F,College,483479.75%,32017,62,1/2/00,297.6,Personal Auto,Four-Door Car
XK15687,Oregon,F,High School or Below,1089930.18%,58518,136,1/0/00,323.637414,Personal Auto,SUV
ED29955,California,M,Bachelor,528404.10%,61542,67,1/0/00,321.6,Personal Auto,Four-Door Car
QT84720,Oregon,F,Bachelor,289172.68%,56761,73,1/1/00,85.146928,Corporate Auto,Two-Door Car
ZH35315,California,M,College,490054.51%,22976,66,1/0/00,345.951322,Personal Auto,Four-Door Car
EE76374,Nevada,F,High School or Below,2084259.63%,0,72,1/0/00,709.082334,Personal Auto,Four-Door Car
SH51981,Washington,M,College,524605.72%,70301,67,1/0/00,328.942798,Personal Auto,Four-Door Car
BS13111,Arizona,M,Bachelor,663083.61%,0,66,1/0/00,315.950185,Personal Auto,Four-Door Car
JP12645,Arizona,M,Bachelor,1203662.05%,44428,104,1/0/00,499.2,Personal Auto,SUV
ZF28570,Nevada,M,Bachelor,389503.48%,52361,102,1/0/00,645.952371,Personal Auto,Four-Door Car
UU93074,California,M,College,1170106.99%,32435,297,1/0/00,1767.348807,Personal Auto,Luxury Car
SZ60450,California,M,High School or Below,341910.87%,40272,86,1/0/00,23.387192,Personal Auto,Two-Door Car
HL63895,Arizona,M,Master,730277.51%,30492,61,1/0/00,171.38289,Personal Auto,Four-Door Car
UD27196,Arizona,M,High School or Below,1968540.91%,51524,244,1/0/00,1171.2,Personal Auto,Luxury Car
OU53351,Arizona,M,College,248606.49%,36635,63,1/0/00,302.4,Corporate Auto,Four-Door Car
SX50964,Arizona,F,Bachelor,522432.88%,83389,65,1/0/00,209.25613,Corporate Auto,Two-Door Car
RP30093,Oregon,F,Bachelor,4922143.07%,63035,153,1/0/00,734.4,Personal Auto,SUV
BK73302,California,M,Bachelor,316788.87%,61638,82,1/2/00,544.340079,Corporate Auto,Four-Door Car
CS93971,Arizona,F,College,780531.29%,21073,106,1/1/00,508.8,Personal Auto,SUV
RG13940,California,F,College,1319792.89%,0,68,1/3/00,326.4,Personal Auto,Four-Door Car
ZG94155,Oregon,M,Bachelor,623430.59%,0,82,1/0/00,192.7604,Personal Auto,Two-Door Car
QN15356,Arizona,M,College,753960.06%,0,74,1/0/00,532.8,Personal Auto,Four-Door Car
MZ16820,Nevada,M,High School or Below,815793.36%,86811,102,1/0/00,489.6,Corporate Auto,Four-Door Car
DO98345,Oregon,M,High School or Below,1315674.90%,72517,82,1/0/00,371.458196,Personal Auto,Two-Door Car
PA48777,Washington,F,High School or Below,249125.76%,25965,5353,1/0/00,329.206567,Personal Auto,Four-Door Car
UK76814,Oregon,F,Doctor,533938.84%,84424,66,1/0/00,231.537001,Personal Auto,Four-Door Car
SR30440,California,F,College,864917.50%,43383,109,1/0/00,757.593913,Personal Auto,SUV
XE66367,Oregon,M,High School or Below,751913.36%,96306,95,1/1/00,185.355353,Special Auto,Four-Door Car
SZ70655,California,F,College,429300.96%,0,61,1/0/00,292.8,Corporate Auto,Two-Door Car
UV54502,Washington,female,High School or Below,253774.45%,0,69,1/0/00,331.2,Personal Auto,Four-Door Car
DK98861,Arizona,F,College,1316033.89%,94125,109,1/0/00,341.680131,Personal Auto,SUV
JX14364,Oregon,M,College,1323554.44%,39778,112,1/0/00,806.4,Personal Auto,SUV
LI85491,Oregon,F,High School or Below,374457.77%,0,101,1/0/00,727.2,Personal Auto,SUV
JY87538,Oregon,F,College,2848607.28%,91871,102,1/0/00,346.845129,Personal Auto,SUV
VE55982,Nevada,M,Bachelor,264468.46%,54000,66,1/0/00,373.881547,Corporate Auto,Two-Door Car
WK99918,Oregon,M,Doctor,507328.21%,57709,125,1/0/00,600,Personal Auto,SUV
XP16538,Arizona,F,High School or Below,427258.51%,81132,107,1/0/00,419.105559,Corporate Auto,SUV
HW42900,California,M,College,1100301.65%,22926,93,1/0/00,479.934846,Corporate Auto,Four-Door Car
JG84729,Arizona,F,College,1418164.28%,0,72,1/2/00,345.6,Personal Auto,Four-Door Car
XH85336,Washington,M,Bachelor,554803.19%,67798,69,1/0/00,331.2,Personal Auto,Four-Door Car
ND29059,Oregon,M,Bachelor,1107768.59%,78011,138,1/0/00,619.698644,Personal Auto,SUV
HC76653,Oregon,M,College,243568.90%,32931,62,1/0/00,297.6,Personal Auto,Four-Door Car
SG73822,California,F,Bachelor,874385.22%,99517,109,1/0/00,239.905208,Personal Auto,Four-Door Car
CB44654,Arizona,M,Bachelor,240976.09%,59665,62,1/1/00,167.138119,Personal Auto,Two-Door Car
MP53505,Washington,F,High School or Below,550001.25%,86073,136,1/0/00,333.5671,Corporate Auto,Sports Car
YJ43481,Arizona,F,High School or Below,852828.87%,91099,107,1/0/00,406.430632,Corporate Auto,SUV
TP15362,Oregon,M,College,359199.61%,28013,91,1/0/00,655.2,Personal Auto,Four-Door Car
YX90754,Nevada,F,High School or Below,853982.69%,55478,71,1/0/00,339.399593,Personal Auto,Two-Door Car
TQ32702,Nevada,F,College,699091.78%,22568,88,1/0/00,422.4,Corporate Auto,Four-Door Car
TS50305,California,F,High School or Below,397938.82%,0,112,1/0/00,806.4,Personal Auto,SUV
BY22068,Arizona,M,High School or Below,2395037.44%,39335,201,1/0/00,964.8,Corporate Auto,Luxury SUV
TJ48439,Oregon,F,College,232105.25%,0,66,1/0/00,508.703134,Personal Auto,Two-Door Car
TE61015,Oregon,M,College,508702.05%,0,72,1/0/00,345.6,Personal Auto,Four-Door Car
RD89159,Oregon,M,College,436293.12%,58842,110,1/0/00,528,Personal Auto,Four-Door Car
VW86720,Oregon,F,Bachelor,745746.81%,0,69,1/0/00,678.209827,Personal Auto,Four-Door Car
UM76485,Oregon,M,College,702775.96%,0,102,1/0/00,489.6,Personal Auto,SUV
LS62045,Oregon,F,Bachelor,283168.37%,70037,70,1/0/00,409.985435,Personal Auto,Four-Door Car
ZG84862,Nevada,M,High School or Below,421785.79%,0,62,1/0/00,446.4,Personal Auto,Two-Door Car
CD76093,Nevada,M,College,759629.15%,59847,192,1/0/00,921.6,Corporate Auto,Luxury Car
FO99259,California,M,Bachelor,836567.76%,26630,118,1/0/00,581.077056,Personal Auto,Four-Door Car
KN87338,Oregon,F,High School or Below,272639.30%,48039,68,1/0/00,11.451889,Personal Auto,Four-Door Car
LT89398,California,M,High School or Below,342045.22%,0,92,1/0/00,441.6,Personal Auto,Four-Door Car
NZ19529,Arizona,M,High School or Below,483910.72%,0,137,1/0/00,1227.458548,Personal Auto,SUV
PR41853,Arizona,F,Bachelor,435855.35%,0,118,1/0/00,101.826804,Corporate Auto,Sports Car
