Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
TO55363,Oregon,13367.86562,High School or Below,F,57335,67,0,Personal Auto,407.887715,Two-Door Car
UE67791,Arizona,5885.335302,College,M,0,67,3,Personal Auto,482.4,Two-Door Car
JN69287,California,3479.760165,High School or Below,M,35033,87,0,Personal Auto,490.638202,Two-Door Car
AT55072,Arizona,9103.8997,College,M,65733,113,0,Personal Auto,684.948527,Four-Door Car
LV34368,California,4813.284447,Bachelor,M,0,69,0,Special Auto,472.611522,Four-Door Car
QU40939,Arizona,9575.7578,College,F,0,88,0,Personal Auto,633.6,Four-Door Car
IP94270,Arizona,13736.1325,Master,F,16181,181,0,Personal Auto,1261.319869,SUV
KW33804,Nevada,8090.884414,High School or Below,M,86180,69,4,Personal Auto,48.051339,Four-Door Car
IA42992,Arizona,8267.119555,High School or Below,M,36881,104,0,Special Auto,499.2,SUV
CZ19025,Oregon,2489.16729,High School or Below,F,47888,64,1,Personal Auto,545.083116,Four-Door Car
EN54716,Oregon,2395.57,Doctor,F,21986,63,0,Personal Auto,333.696228,Two-Door Car
UF27940,Washington,3863.309585,College,F,47199,100,3,Corporate Auto,480,SUV
QD36118,Oregon,5173.485319,College,F,0,69,0,Personal Auto,331.2,Four-Door Car
XI52305,California,4984.618655,Bachelor,M,86305,62,0,Personal Auto,80.73124,Four-Door Car
HZ25580,Washington,2396.192355,High School or Below,F,39062,61,0,Corporate Auto,346.991025,Two-Door Car
JY97451,California,2631.87754,College,F,16976,69,0,Personal Auto,238.952528,Four-Door Car
US78266,California,6993.838856,High School or Below,F,0,65,2,Corporate Auto,468,Four-Door Car
SX25962,Arizona,15055.53836,College,M,83283,193,1,Personal Auto,273.702709,Luxury Car
XQ12791,California,3401.881747,High School or Below,M,41972,86,0,Personal Auto,691.709371,Four-Door Car
EU59853,California,4126.61326,College,M,34080,107,1,Personal Auto,220.644418,Four-Door Car
QR21417,California,4462.997006,Bachelor,F,0,73,3,Corporate Auto,350.4,Two-Door Car
CI27304,California,9320.090224,College,M,40269,81,2,Personal Auto,329.980754,Four-Door Car
WJ52097,Oregon,3663.740198,Bachelor,F,61894,91,0,Corporate Auto,436.8,Four-Door Car
FT65961,California,4962.208409,College,F,23300,63,1,Corporate Auto,339.906034,Four-Door Car
DP87594,Oregon,2816.758764,Bachelor,F,66023,70,0,Personal Auto,265.629611,Two-Door Car
KP96020,Arizona,4330.769101,Bachelor,F,39660,107,0,Corporate Auto,416.8496,Sports Car
HQ15974,Nevada,8262.879764,College,F,0,76,1,Personal Auto,32.508635,Four-Door Car
VE98553,Oregon,4666.643522,Bachelor,M,60466,117,0,Personal Auto,784.186389,Four-Door Car
ME44353,Oregon,5876.054314,College,F,32848,74,0,Personal Auto,250.454012,Four-Door Car
AE62631,Oregon,8427.723769,Bachelor,M,20662,72,0,Personal Auto,373.324673,Two-Door Car
GX29162,Arizona,13023.9329,High School or Below,F,64985,108,0,Personal Auto,16.425514,Two-Door Car
LY69932,Oregon,8209.59982,High School or Below,M,68022,103,0,Personal Auto,494.4,Sports Car
YY74036,California,2464.238061,College,M,72834,65,3,Corporate Auto,91.941259,Four-Door Car
DP92488,Washington,2727.520769,Doctor,F,74592,67,0,Personal Auto,321.6,Two-Door Car
FO74055,California,3086.013544,College,F,73938,76,0,Personal Auto,53.095599,Two-Door Car
GT97121,California,22067.728,College,M,15999,83,0,Personal Auto,398.4,Four-Door Car
VF83291,Oregon,4836.054291,College,F,0,69,0,Personal Auto,632.081402,Four-Door Car
OU76593,Oregon,6912.03963,College,M,0,96,0,Personal Auto,460.8,Four-Door Car
HO40387,California,2570.761765,Master,M,0,72,3,Personal Auto,345.6,Two-Door Car
GR37045,Nevada,2991.696011,Bachelor,F,0,80,0,Corporate Auto,576,Four-Door Car
KZ84621,Nevada,8253.266591,High School or Below,F,62375,103,1,Personal Auto,411.228571,SUV
FR82361,Arizona,10477.77713,Doctor,M,61427,88,0,Personal Auto,422.4,Four-Door Car
UM14883,California,16373.7273,High School or Below,M,64396,103,0,Special Auto,355.409311,SUV
UX32931,California,5184.94945,College,F,49312,65,1,Corporate Auto,230.104769,Four-Door Car
QA68548,California,10634.83711,High School or Below,F,0,61,0,Personal Auto,292.8,Two-Door Car
QV40364,California,15114.40241,High School or Below,F,28513,100,1,Personal Auto,480,SUV
TY87896,California,11875.89915,High School or Below,M,0,108,0,Personal Auto,518.4,SUV
CV75841,California,4369.496687,College,M,97321,110,0,Personal Auto,74.744643,Four-Door Car
YO62357,California,7432.856752,College,F,58839,65,3,Personal Auto,18.965718,Two-Door Car
YN19139,Nevada,2558.762931,High School or Below,M,0,72,0,Corporate Auto,518.4,Four-Door Car
PE63707,Nevada,5452.171237,Bachelor,M,88567,67,0,Personal Auto,321.6,Four-Door Car
NS74173,Nevada,2968.077571,College,M,91646,74,0,Corporate Auto,57.678779,Two-Door Car
ZI73222,California,15700.28436,High School or Below,M,0,211,0,Personal Auto,1012.8,Luxury SUV
AC24378,Arizona,7477.176362,High School or Below,F,48552,94,0,Corporate Auto,262.746281,Four-Door Car
XR71687,Oregon,9407.452895,Bachelor,M,31485,118,0,Personal Auto,294.905685,SUV
GJ70481,Arizona,4428.038374,High School or Below,M,0,64,0,Personal Auto,628.801638,Four-Door Car
JI94264,Arizona,10053.55227,College,M,16511,135,0,Personal Auto,972,SUV
YI95434,California,2907.898828,College,F,51020,73,0,Personal Auto,350.4,Four-Door Car
RL34830,California,7644.763153,College,M,43838,97,0,Corporate Auto,465.6,Four-Door Car
CA96568,Oregon,9709.746073,College,M,0,133,0,Corporate Auto,827.085431,SUV
UO16539,Washington,8439.615236,Bachelor,M,22454,110,2,Personal Auto,556.097027,SUV
NP18074,Arizona,4209.682602,Bachelor,F,57933,105,0,Personal Auto,533.255723,SUV
TW45475,Nevada,8556.418397,College,M,0,124,3,Personal Auto,595.2,SUV
CM66204,Arizona,26770.44534,College,F,26335,113,1,Personal Auto,355.818306,SUV
DX80961,Arizona,16265.58682,Bachelor,F,85322,134,0,Personal Auto,735.491986,SUV
JZ15681,California,3624.901612,High School or Below,M,37843,92,0,Personal Auto,354.455466,Four-Door Car
ZZ31825,Oregon,2519.918897,Bachelor,M,0,67,0,Personal Auto,482.4,Four-Door Car
TF77410,Arizona,4819.183706,College,M,74730,61,0,Personal Auto,421.235276,Four-Door Car
HI16452,Oregon,3028.780121,High School or Below,M,0,94,1,Special Auto,483.881752,Four-Door Car
CW98845,Oregon,2316.796105,Bachelor,M,0,64,0,Personal Auto,307.2,Four-Door Car
NI99807,Oregon,13869.92705,College,M,28432,118,0,Personal Auto,612.300581,SUV
QL45827,Washington,25807.063,College,F,71210,214,1,Personal Auto,1027.2,Luxury Car
GU60969,Arizona,2342.01381,Bachelor,M,19581,67,0,Corporate Auto,321.6,Four-Door Car
FS67103,Oregon,2747.771656,Bachelor,M,0,80,0,Special Auto,576,Two-Door Car
FQ24929,Oregon,5479.555081,Master,M,56005,68,1,Personal Auto,326.4,Four-Door Car
YA12007,California,9199.539814,College,F,0,80,0,Personal Auto,572.847549,Four-Door Car
EW46828,Arizona,8060.161694,High School or Below,M,23671,69,0,Personal Auto,331.2,Four-Door Car
YP67379,Arizona,6686.128629,High School or Below,M,22244,84,0,Personal Auto,114.815893,Four-Door Car
KH16079,Washington,4709.52218,High School or Below,F,0,66,0,Personal Auto,470.576119,Four-Door Car
SJ87277,Arizona,2685.425957,High School or Below,M,75329,67,0,Corporate Auto,45.905292,Four-Door Car
DW14769,Arizona,3920.511337,High School or Below,F,0,108,1,Personal Auto,525.392239,Two-Door Car
CN13435,California,5493.698779,College,F,44369,68,0,Personal Auto,185.291566,Four-Door Car
KO95143,California,8521.738901,High School or Below,M,37910,108,0,Personal Auto,518.4,Four-Door Car
GT66241,California,2414.072446,High School or Below,M,0,71,0,Personal Auto,511.2,Four-Door Car
PP97061,Nevada,4282.947971,College,F,40864,109,1,Personal Auto,166.937747,SUV
KP97208,Oregon,5918.330563,College,F,94846,73,0,Corporate Auto,305.031114,Two-Door Car
SB24397,California,7519.133631,High School or Below,M,96306,95,1,Personal Auto,185.355353,Four-Door Car
EM32982,Arizona,4472.334422,Doctor,F,53519,111,0,Corporate Auto,520.036279,SUV
LB97434,Arizona,5531.627731,Bachelor,M,50648,69,1,Personal Auto,331.2,Two-Door Car
RR37715,Oregon,8435.176463,Bachelor,M,64692,70,0,Corporate Auto,336,Two-Door Car
TC81636,Arizona,10196.1106,High School or Below,M,0,100,0,Corporate Auto,720,SUV
IC55961,Arizona,20552.62128,High School or Below,F,0,187,1,Corporate Auto,1430.336183,Luxury SUV
HR48520,Oregon,3915.798108,Bachelor,M,0,109,0,Personal Auto,784.8,SUV
VI42566,Oregon,6010.502178,Master,M,49311,74,0,Personal Auto,355.2,Four-Door Car
NU84299,Arizona,2854.114491,High School or Below,M,71126,71,0,Personal Auto,324.739746,Four-Door Car
RT63209,California,5994.255419,Master,F,74284,74,0,Personal Auto,268.130863,Four-Door Car
AM52614,Oregon,4477.45201,Bachelor,F,41402,119,4,Personal Auto,571.2,Sports Car
UO40192,Nevada,5544.909083,High School or Below,M,79619,71,3,Personal Auto,280.89705,Four-Door Car
SD67101,Nevada,3600.934326,High School or Below,F,25147,101,0,Personal Auto,694.598288,SUV
EW35231,Oregon,9934.865795,High School or Below,F,56379,125,1,Corporate Auto,600,SUV
CT18212,California,6874.84827,Bachelor,F,0,96,0,Personal Auto,691.2,Four-Door Car
YL91587,Arizona,2374.147419,High School or Below,M,48911,61,0,Personal Auto,292.8,Two-Door Car
HS14476,Washington,9162.063169,College,M,29723,80,0,Personal Auto,20.985105,Four-Door Car
DA28072,Arizona,7380.086414,Master,F,21841,91,0,Corporate Auto,436.8,Four-Door Car
JO98946,Oregon,2655.996158,Bachelor,M,31796,68,0,Personal Auto,377.442796,Four-Door Car
BA26944,Nevada,7591.109246,Bachelor,M,0,105,0,Corporate Auto,504,SUV
AR47849,Nevada,5015.009472,Bachelor,F,48567,130,0,Personal Auto,624,SUV
FO82261,Oregon,4603.975141,College,M,66161,118,0,Personal Auto,457.593764,SUV
QO56662,Arizona,2551.226692,Master,M,79751,63,0,Personal Auto,392.235698,Two-Door Car
UF74084,Arizona,5641.35916,Bachelor,M,39469,71,0,Personal Auto,315.560161,Two-Door Car
OX75108,Arizona,5463.913828,Master,F,44305,67,0,Personal Auto,214.772284,Four-Door Car
QG25195,Oregon,4866.647452,Bachelor,F,0,68,0,Personal Auto,444.030724,Four-Door Car
HT50748,Oregon,2779.85389,Doctor,F,38893,69,0,Personal Auto,279.960213,Two-Door Car
HC42288,California,4563.018085,College,F,39187,118,1,Corporate Auto,566.4,SUV
TC69546,Arizona,14376.55039,College,M,70341,179,0,Personal Auto,253.511935,SUV
GJ63345,Arizona,2279.747148,Bachelor,F,0,64,0,Personal Auto,460.8,Four-Door Car
RK45396,California,5380.316469,Bachelor,M,0,73,0,Corporate Auto,350.4,Four-Door Car
YA71207,California,8708.27928,High School or Below,F,30090,73,0,Corporate Auto,329.517492,Two-Door Car
FK95213,California,18611.45356,Master,F,49673,232,0,Personal Auto,1021.654003,Luxury SUV
MC53402,Washington,2215.912948,College,M,0,66,0,Personal Auto,389.944994,Two-Door Car
VU18023,California,7780.903354,High School or Below,F,0,70,0,Personal Auto,504,Four-Door Car
VN37592,Arizona,2860.864563,High School or Below,M,50332,72,0,Personal Auto,345.6,Four-Door Car
KL58949,California,5577.942343,Bachelor,M,70190,71,0,Corporate Auto,15.169017,Two-Door Car
KU14261,Arizona,7268.096004,Master,F,38179,90,1,Personal Auto,374.716271,Four-Door Car
RL97327,Washington,4060.956163,Bachelor,M,0,115,1,Personal Auto,699.823461,Four-Door Car
TO60700,Washington,7813.411572,Bachelor,F,25859,74,0,Special Auto,355.2,Four-Door Car
CR33417,Washington,4762.156975,Master,F,36529,118,0,Personal Auto,255.005116,SUV
ZK90062,Arizona,14166.20344,Bachelor,M,67588,118,0,Personal Auto,566.4,Sports Car
JP44710,Nevada,4354.398727,High School or Below,M,0,121,0,Personal Auto,871.2,SUV
RR93140,California,2880.348532,College,F,81565,71,0,Personal Auto,190.642833,Four-Door Car
HW56522,Arizona,19185.0725,Bachelor,M,35322,244,0,Personal Auto,76.826503,Luxury Car
LR27773,California,5329.075482,Bachelor,F,43671,67,0,Corporate Auto,190.649902,Four-Door Car
CT88432,Arizona,4883.805481,Bachelor,F,58682,61,0,Corporate Auto,206.810286,Four-Door Car
OK86731,Oregon,4510.194071,College,M,44230,114,0,Personal Auto,738.222494,Sports Car
GB75821,Oregon,15304.51777,Bachelor,M,40269,193,0,Personal Auto,926.4,Luxury SUV
KL48832,Nevada,5237.935672,College,F,31756,66,0,Corporate Auto,160.855921,Four-Door Car
CA54112,Nevada,15119.55539,Doctor,M,47725,63,0,Personal Auto,142.205246,Two-Door Car
VC43751,Arizona,5860.01804,Bachelor,F,38684,74,0,Personal Auto,376.760016,Two-Door Car
BC87551,California,32306.28587,High School or Below,F,36301,118,0,Corporate Auto,647.954067,SUV
TD58354,Nevada,4655.392106,High School or Below,M,0,67,0,Personal Auto,482.4,Four-Door Car
XM19715,Oregon,5326.501981,College,F,22268,67,0,Personal Auto,294.803913,Two-Door Car
KH19280,Arizona,6513.612638,College,F,50037,81,0,Special Auto,303.384527,Four-Door Car
GE50763,Washington,3491.741616,Bachelor,M,0,104,0,Corporate Auto,748.8,Four-Door Car
VW63894,California,7870.360084,Master,M,75740,98,0,Personal Auto,46.702524,Four-Door Car
YX36936,Arizona,4274.618943,College,M,39621,109,1,Corporate Auto,25.292113,SUV
AF49625,Oregon,7189.106255,Bachelor,F,75838,90,0,Corporate Auto,428.907968,Two-Door Car
QN30162,Oregon,11315.20373,Bachelor,F,11885,101,0,Special Auto,484.8,Four-Door Car
UI21548,California,2480.529264,High School or Below,F,29444,63,0,Personal Auto,302.4,Two-Door Car
IN52645,Oregon,7344.836277,High School or Below,F,64371,181,0,Personal Auto,868.8,SUV
CQ76030,Oregon,6974.922464,High School or Below,M,26514,91,0,Personal Auto,655.2,Four-Door Car
BW94308,Washington,20096.89337,High School or Below,F,92766,71,0,Personal Auto,379.029102,Two-Door Car
PP39078,California,5623.611187,College,F,31504,71,0,Special Auto,340.8,Four-Door Car
LM86393,Oregon,2828.095211,High School or Below,F,98680,72,2,Personal Auto,345.6,Four-Door Car
NB81923,Washington,7294.492993,College,F,0,113,2,Personal Auto,733.737214,Sports Car
SZ61347,California,5583.575264,College,M,76927,138,0,Personal Auto,114.743547,SUV
VM53683,Nevada,25763.41423,Bachelor,F,78804,71,0,Personal Auto,389.636991,Four-Door Car
BA38428,Arizona,5639.941974,High School or Below,M,73168,70,0,Corporate Auto,425.800112,Four-Door Car
FX80133,California,4576.759564,Master,F,48569,114,0,Personal Auto,434.7579,Four-Door Car
MT41386,Washington,2875.43239,Bachelor,M,84768,72,0,Personal Auto,110.484661,Two-Door Car
KV53202,California,3031.399321,High School or Below,F,0,86,0,Corporate Auto,619.2,Two-Door Car
DB79694,Arizona,5979.724161,High School or Below,F,57693,76,0,Corporate Auto,547.2,Four-Door Car
VY75186,California,2242.244448,College,M,0,65,0,Personal Auto,85.612463,Four-Door Car
IR57729,California,16547.63728,High School or Below,M,46593,70,0,Corporate Auto,129.151543,Two-Door Car
FG16885,Arizona,15814.74557,College,M,0,146,0,Personal Auto,1055.43784,SUV
NW21079,Washington,4879.384813,Master,F,67163,61,2,Personal Auto,33.192803,Two-Door Car
FR81224,Oregon,5494.87251,Master,M,89205,68,0,Personal Auto,165.523154,Two-Door Car
YK92213,Oregon,5060.303189,Doctor,M,0,138,0,Personal Auto,570.777441,Sports Car
JV99867,California,11269.23099,Bachelor,F,65448,94,0,Special Auto,451.2,Four-Door Car
TN66124,California,10552.87837,High School or Below,M,77627,88,0,Corporate Auto,205.169178,Two-Door Car
NT78297,Oregon,7517.378484,Bachelor,F,37695,96,0,Personal Auto,460.8,Two-Door Car
KG49115,California,6298.177143,College,F,89411,78,0,Personal Auto,116.237322,Four-Door Car
WC77067,Nevada,7821.945982,College,M,0,114,0,Corporate Auto,914.31553,SUV
DW62397,Oregon,22806.46912,Master,F,10337,67,0,Personal Auto,321.6,Four-Door Car
GK67747,Washington,4386.277558,College,M,10621,67,0,Special Auto,321.6,Four-Door Car
QM39493,California,3499.988408,High School or Below,M,16711,91,1,Personal Auto,580.622219,Four-Door Car
JD11661,Oregon,7528.092744,College,F,0,106,0,Personal Auto,508.8,SUV
PT73521,California,2732.613084,College,M,42968,69,0,Personal Auto,331.2,Four-Door Car
TC99043,California,13736.1325,Master,F,16181,181,0,Personal Auto,1261.319869,SUV
PY50779,Arizona,7060.212867,High School or Below,M,85412,88,0,Personal Auto,134.684555,Four-Door Car
FK97285,California,3732.305945,High School or Below,F,75774,92,1,Corporate Auto,441.6,Four-Door Car
JG12505,Nevada,4064.182317,Master,F,26599,101,0,Personal Auto,254.380731,SUV
FX65946,Arizona,5754.746414,Bachelor,M,34847,73,0,Personal Auto,525.6,Four-Door Car
OU88023,California,8460.80939,High School or Below,F,0,115,0,Personal Auto,552,SUV
XN32623,Oregon,5638.150224,Bachelor,M,85896,70,0,Personal Auto,48.629646,Four-Door Car
EV78251,Oregon,7163.540342,Doctor,F,0,66,0,Personal Auto,316.8,Two-Door Car
HC80108,California,2803.796963,College,F,43775,70,0,Personal Auto,310.744656,Four-Door Car
LG45661,Nevada,20940.30306,High School or Below,F,0,67,0,Personal Auto,482.4,Four-Door Car
ZJ22132,Oregon,3130.67843,High School or Below,F,42056,78,0,Personal Auto,221.951098,Four-Door Car
LG53863,Oregon,3741.570763,High School or Below,F,13093,100,0,Personal Auto,514.507039,SUV
KR87696,California,3439.089657,College,F,98278,85,0,Personal Auto,367.577872,Four-Door Car
LN44535,Washington,7284.445594,College,F,44605,91,0,Personal Auto,436.8,Four-Door Car
FU63281,Arizona,5278.528037,Bachelor,M,32365,67,0,Personal Auto,193.147858,Four-Door Car
KV17007,California,5680.276365,College,M,82255,71,0,Personal Auto,145.004323,Four-Door Car
GR42174,Oregon,2194.668123,College,M,0,62,0,Personal Auto,623.525433,Four-Door Car
SR71812,California,6473.32562,High School or Below,F,0,88,0,Personal Auto,468.492761,Four-Door Car
CA29908,Oregon,18522.29433,High School or Below,M,65903,66,0,Personal Auto,316.8,Four-Door Car
OB98149,Washington,4700.007467,College,F,11417,63,0,Personal Auto,302.4,Two-Door Car
FX30915,Arizona,21295.51371,High School or Below,F,0,96,0,Corporate Auto,677.616967,Two-Door Car
OC39051,California,6158.846901,College,M,0,67,2,Personal Auto,321.6,Four-Door Car
LW80918,Oregon,8653.562027,Doctor,M,69704,72,0,Personal Auto,89.921281,Two-Door Car
EC94366,Oregon,3776.320768,Doctor,M,20101,96,0,Corporate Auto,291.536748,Four-Door Car
PI92163,Nevada,4897.041423,Bachelor,M,24383,69,2,Corporate Auto,331.2,Four-Door Car
LZ68649,Washington,14947.9173,Bachelor,M,22139,100,0,Personal Auto,480,SUV
IB39821,Arizona,9011.129467,Bachelor,M,88708,112,0,Personal Auto,499.663591,Sports Car
WI75766,Arizona,10083.48688,High School or Below,F,11828,90,0,Personal Auto,571.479602,Four-Door Car
DR27120,Washington,2938.728161,Bachelor,F,0,80,1,Corporate Auto,384,Two-Door Car
UQ67668,Nevada,5639.941974,High School or Below,M,73168,70,0,Personal Auto,425.800112,Four-Door Car
PR64751,Nevada,2606.045519,Bachelor,M,0,71,0,Corporate Auto,409.459488,Two-Door Car
CL79250,Nevada,52811.49112,Bachelor,M,0,182,0,Corporate Auto,873.6,Luxury Car
ZR72236,Nevada,5226.286197,Master,M,76646,65,0,Personal Auto,263.844471,Two-Door Car
SG52649,Washington,8382.630118,High School or Below,M,19683,117,1,Corporate Auto,561.6,Sports Car
SG96896,Oregon,14703.13246,High School or Below,M,0,71,1,Personal Auto,819.576016,Four-Door Car
QJ50723,Oregon,18948.34795,Master,F,0,124,0,Personal Auto,595.2,SUV
NU64028,Nevada,12265.60041,Bachelor,M,35693,103,0,Personal Auto,494.4,Sports Car
PM63319,Washington,4529.976333,College,F,0,65,0,Personal Auto,438.369382,Four-Door Car
YG46815,Arizona,9220.013197,High School or Below,M,0,136,0,Personal Auto,979.2,SUV
XF94149,California,4087.512572,College,M,24123,104,0,Personal Auto,748.8,SUV
ME99882,Arizona,9247.547393,Bachelor,M,85654,116,0,Personal Auto,346.265295,Two-Door Car
YZ67161,Oregon,13024.13012,Master,M,0,125,0,Personal Auto,900,SUV
WA45944,Arizona,25807.063,College,F,71210,214,1,Corporate Auto,1027.2,Luxury Car
UM53032,California,6104.723142,College,M,84822,76,0,Corporate Auto,219.879452,Four-Door Car
LW43115,California,2725.356404,Master,F,36650,69,1,Personal Auto,56.60333,Four-Door Car
YK93229,Oregon,3260.74476,High School or Below,M,0,90,0,Personal Auto,432,Two-Door Car
FH65253,Oregon,23740.12142,High School or Below,M,28025,87,0,Personal Auto,611.40108,Four-Door Car
IH43245,Nevada,7599.895827,College,M,52113,97,0,Corporate Auto,465.6,Four-Door Car
TO20795,Washington,32467.66151,Doctor,M,37675,104,0,Corporate Auto,731.970027,Four-Door Car
TO14996,Oregon,5633.949267,High School or Below,M,37595,70,0,Personal Auto,501.994635,Four-Door Car
XN34686,Oregon,5640.021911,High School or Below,M,41396,70,0,Special Auto,336,Four-Door Car
KA13067,Oregon,8370.401649,High School or Below,M,77512,104,0,Corporate Auto,433.608534,SUV
LQ76461,Oregon,5170.450306,High School or Below,F,35334,65,0,Personal Auto,468,Four-Door Car
BH60627,Oregon,7521.194691,College,M,0,104,0,Personal Auto,499.2,Four-Door Car
CD48033,Oregon,12731.95161,Doctor,M,40870,105,0,Personal Auto,504,SUV
AC58002,California,5666.867962,Bachelor,F,53907,71,0,Corporate Auto,189.907577,Four-Door Car
VM21699,Oregon,4436.806209,Bachelor,F,77609,111,0,Corporate Auto,62.935952,Sports Car
YM24654,Washington,17966.28765,High School or Below,F,0,70,0,Personal Auto,504,Four-Door Car
RR66500,California,2436.005997,Master,M,87462,61,1,Corporate Auto,51.294615,Four-Door Car
GJ31412,Oregon,6650.816974,Bachelor,M,99494,83,0,Personal Auto,398.4,Four-Door Car
WO64354,California,2751.365822,Bachelor,F,42585,69,0,Personal Auto,288.295744,Two-Door Car
UG37492,California,4362.931238,College,M,58842,110,0,Personal Auto,528,Four-Door Car
PR51268,Arizona,4014.453113,Doctor,F,37384,99,0,Personal Auto,475.2,Four-Door Car
NJ10602,Washington,8459.053233,College,F,92717,70,0,Personal Auto,224.27582,Two-Door Car
OP60201,Oregon,2203.439795,College,M,0,72,2,Personal Auto,518.715288,Four-Door Car
QK69627,Washington,9388.162927,High School or Below,F,75264,78,0,Personal Auto,343.340301,Four-Door Car
DP63956,Arizona,6791.215414,Bachelor,F,0,101,1,Corporate Auto,727.2,SUV
MV89967,Oregon,23142.1509,College,F,0,105,0,Personal Auto,564.947278,Four-Door Car
MQ37971,Arizona,3038.114641,Bachelor,F,31532,79,0,Personal Auto,241.077843,Four-Door Car
CO12132,California,8879.790017,High School or Below,F,52583,113,0,Personal Auto,528.20086,SUV
UG19550,California,21590.44235,High School or Below,M,62477,183,0,Personal Auto,40.287304,Luxury SUV
SQ18525,Arizona,8457.461231,College,F,26023,72,1,Personal Auto,79.463916,Four-Door Car
VG11458,California,4770.73904,Bachelor,M,28666,64,0,Personal Auto,307.2,Four-Door Car
TG75223,California,4312.869599,Bachelor,M,21004,62,0,Personal Auto,297.6,Two-Door Car
WW85018,Washington,6293.963716,Bachelor,M,45430,81,0,Personal Auto,388.8,Two-Door Car
MY11682,California,7098.017093,Bachelor,M,37511,185,2,Personal Auto,579.467191,Luxury Car
NI49607,Oregon,4395.885525,College,F,28719,110,0,Personal Auto,792,SUV
NX18821,Oregon,5564.735366,Master,M,49833,69,0,Personal Auto,331.2,Four-Door Car
JZ63423,Arizona,5321.108879,College,M,67431,136,1,Personal Auto,652.8,SUV
DG30586,Oregon,2867.312197,Bachelor,F,23376,78,0,Personal Auto,374.4,Four-Door Car
QS79556,Arizona,9414.119587,College,F,20455,84,2,Corporate Auto,564.922034,Two-Door Car
SW74846,Washington,7414.436023,Bachelor,F,62473,185,0,Personal Auto,1298.853615,Luxury SUV
FZ24763,California,5078.451231,Bachelor,M,35289,65,0,Personal Auto,123.945627,Four-Door Car
TW73441,Nevada,2773.455358,High School or Below,F,73478,68,0,Personal Auto,241.88878,Four-Door Car
FP60372,Nevada,8072.746442,Bachelor,M,30584,68,0,Personal Auto,51.662597,Two-Door Car
XS17260,Oregon,12280.76661,College,M,88340,102,0,Personal Auto,489.6,Two-Door Car
HX77930,Washington,3136.432103,College,F,49532,79,1,Personal Auto,220.186677,Four-Door Car
OP47206,Arizona,5232.333113,College,M,0,154,0,Corporate Auto,1140.523821,Sports Car
KI25980,Washington,14722.22122,Master,M,43982,126,1,Personal Auto,604.8,SUV
SM88270,California,30118.6554,High School or Below,M,68906,187,0,Personal Auto,1053.300143,Sports Car
RM83767,Washington,5970.995737,College,M,64008,85,5,Personal Auto,372.893812,Four-Door Car
YE45848,California,8026.278333,Bachelor,F,87421,99,0,Corporate Auto,475.2,Two-Door Car
QO77034,California,3567.503755,Bachelor,M,0,102,0,Personal Auto,660.430456,SUV
FQ66070,California,8491.020256,College,M,62076,71,0,Personal Auto,227.225113,Four-Door Car
YQ44187,Oregon,2545.220272,Bachelor,F,26746,66,0,Personal Auto,165.75305,Two-Door Car
PW65305,California,8870.673845,College,M,91580,73,0,Personal Auto,290.70096,Two-Door Car
KB44286,Oregon,46770.94705,High School or Below,F,64403,198,0,Corporate Auto,111.173021,Luxury SUV
JV89183,Oregon,9378.900706,Bachelor,M,51425,119,0,Personal Auto,560.154132,Four-Door Car
IS75141,Oregon,5645.513529,High School or Below,F,44162,71,0,Personal Auto,160.825045,Two-Door Car
XO90806,California,8406.763319,College,F,67128,105,0,Personal Auto,339.017729,SUV
QN44699,Oregon,4655.209814,Bachelor,F,30383,119,0,Personal Auto,803.686321,Two-Door Car
BV98316,Arizona,6520.824777,Bachelor,F,93721,80,0,Personal Auto,489.594642,Four-Door Car
JJ66819,Oregon,2989.963139,Bachelor,F,79867,74,1,Personal Auto,78.172321,Four-Door Car
KM72596,Arizona,32677.34284,Doctor,M,39393,121,0,Personal Auto,491.151197,SUV
HX72126,Nevada,21112.53624,Bachelor,F,0,81,0,Personal Auto,136.848554,Four-Door Car
WX48434,Arizona,4270.034394,College,M,0,122,0,Corporate Auto,725.870693,SUV
LW12893,California,7911.626107,High School or Below,F,43916,68,2,Personal Auto,326.4,Four-Door Car
XO94933,California,3944.231185,Bachelor,F,33282,100,1,Personal Auto,207.510821,SUV
NS92256,Oregon,23777.81427,Master,F,33032,86,1,Personal Auto,87.080119,Two-Door Car
IR62720,Nevada,6842.580052,Bachelor,M,25259,87,0,Personal Auto,417.6,Four-Door Car
XP81320,Oregon,2521.161048,College,F,19637,67,0,Personal Auto,333.138214,Four-Door Car
CA52541,California,3808.122147,College,F,94903,94,0,Corporate Auto,451.2,Two-Door Car
IB59831,Oregon,15512.56424,College,M,39794,133,0,Corporate Auto,638.4,SUV
VO61192,Oregon,6751.782327,High School or Below,M,42433,85,0,Personal Auto,410.946167,Four-Door Car
UV17888,California,7405.420506,Bachelor,F,22044,65,0,Corporate Auto,10.393016,Four-Door Car
WX31658,Arizona,7218.015592,Doctor,F,32312,61,3,Personal Auto,276.590788,Two-Door Car
RQ79244,California,3362.551989,College,F,0,97,0,Personal Auto,698.4,Four-Door Car
UL90124,Oregon,5038.979968,High School or Below,F,72919,130,5,Personal Auto,936,SUV
